KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,人口総数,男,女,世帯総数
09201,1,宇都宮市,,0,,,518757,259616,259141,230841
092010010,2,宇都宮市,明保野町,0,,,259,136,123,150
092010020,3,宇都宮市,旭,0,,,807,387,420,389
09201002001,4,宇都宮市,旭一丁目,0,,,415,184,231,202
09201002002,4,宇都宮市,旭二丁目,0,,,392,203,189,187
092010030,2,宇都宮市,池上町,0,,,19,7,12,7
092010040,3,宇都宮市,泉が丘,0,,,5228,2548,2680,2443
09201004001,4,宇都宮市,泉が丘一丁目,0,,,801,425,376,410
09201004002,4,宇都宮市,泉が丘二丁目,0,,,1704,839,865,801
09201004003,4,宇都宮市,泉が丘三丁目,0,,,499,218,281,245
09201004004,4,宇都宮市,泉が丘四丁目,0,,,690,319,371,335
09201004005,4,宇都宮市,泉が丘五丁目,0,,,286,142,144,109
09201004006,4,宇都宮市,泉が丘六丁目,0,,,667,332,335,291
09201004007,4,宇都宮市,泉が丘七丁目,0,,,581,273,308,252
092010050,2,宇都宮市,泉町,0,,,265,134,131,163
092010060,3,宇都宮市,一条,0,,,1468,737,731,774
09201006001,4,宇都宮市,一条一丁目,0,,,257,127,130,158
09201006002,4,宇都宮市,一条二丁目,0,,,444,216,228,224
09201006003,4,宇都宮市,一条三丁目,0,,,355,167,188,166
09201006004,4,宇都宮市,一条四丁目,0,,,412,227,185,226
092010070,2,宇都宮市,一ノ沢町,0,,,728,340,388,363
092010080,2,宇都宮市,一番町,0,,,423,197,226,195
092010090,3,宇都宮市,今泉町,0,,,4447,2165,2282,2121
09201009091,4,宇都宮市,今泉町,0,,,4225,2059,2166,1997
09201009092,4,宇都宮市,今泉町,0,,,222,106,116,124
092010100,3,宇都宮市,今泉,0,,,1821,911,910,899
09201010001,4,宇都宮市,今泉一丁目,0,,,111,59,52,70
09201010002,4,宇都宮市,今泉二丁目,0,,,347,176,171,172
09201010003,4,宇都宮市,今泉三丁目,0,,,702,344,358,343
09201010004,4,宇都宮市,今泉四丁目,0,,,415,208,207,206
09201010005,4,宇都宮市,今泉五丁目,0,,,246,124,122,108
092010110,2,宇都宮市,今泉新町,0,,,1028,519,509,513
092010120,2,宇都宮市,上野町,0,,,2052,1002,1050,1033
092010130,3,宇都宮市,駅前通り,0,,,894,457,437,543
09201013001,4,宇都宮市,駅前通り一丁目,0,,,16,7,9,8
09201013002,4,宇都宮市,駅前通り二丁目,0,,,320,171,149,179
09201013003,4,宇都宮市,駅前通り三丁目,0,,,558,279,279,356
092010140,2,宇都宮市,江野町,0,,,272,137,135,131
092010150,3,宇都宮市,大曽,0,,,1937,961,976,1037
09201015001,4,宇都宮市,大曽一丁目,0,,,363,194,169,206
09201015002,4,宇都宮市,大曽二丁目,0,,,517,241,276,246
09201015003,4,宇都宮市,大曽三丁目,0,,,331,156,175,211
09201015004,4,宇都宮市,大曽四丁目,0,,,424,227,197,235
09201015005,4,宇都宮市,大曽五丁目,0,,,302,143,159,139
092010160,3,宇都宮市,大通り,0,,,436,198,238,231
09201016001,4,宇都宮市,大通り一丁目,0,,,50,23,27,30
09201016002,4,宇都宮市,大通り二丁目,0,,,75,41,34,47
